iter	Passed	Remaining
393	46483	71494
394	46524	71259
395	46569	71030
396	46612	70800
397	46658	70573
398	46698	70340
399	46744	70117
400	46791	69895
401	46836	69671
402	46878	69444
403	46921	69221
404	46962	68994
405	47005	68771
406	47049	68551
407	47095	68334
408	47138	68115
409	47189	67907
410	47234	67690
411	47277	67473
412	47313	67247
413	47353	67027
414	47398	66814
415	47438	66596
416	47483	66386
417	47527	66174
418	47575	65970
419	47615	65755
420	47659	65545
421	47701	65334
422	47747	65130
423	47794	64928
424	47835	64719
425	47882	64518
426	47929	64317
427	47974	64115
428	48013	63906
429	48055	63701
430	48097	63497
431	48141	63296
432	48183	63094
433	48228	62896
434	48267	62692
435	48307	62490
436	48354	62296
437	48397	62098
438	48440	61902
439	48483	61705
440	48523	61506
441	48565	61310
442	48606	61114
443	48647	60919
444	48686	60721
445	48730	60530
446	48766	60331
447	48807	60137
448	48849	59946
449	48895	59760
450	48930	59562
451	48978	59381
452	49020	59192
453	49063	59005
454	49105	58818
455	49144	58628
456	49184	58440
457	49225	58253
458	49263	58064
459	49306	57881
460	49352	57703
461	49396	57521
462	49536	57453
463	49661	57367
464	49733	57220
465	49800	57067
466	49875	56924
467	49951	56782
468	50041	56657
469	50107	56503
470	50179	56358
471	50251	56213
472	50325	56070
473	50399	55928
474	50463	55775
475	50530	55626
476	50597	55477
477	50658	55322
478	50738	55187
479	50802	55035
480	50872	54891
481	50937	54741
482	51018	54610
483	51085	54462
484	51162	54326
485	51237	54189
486	51298	54036
487	51370	53897
488	51438	53752
489	51507	53609
490	51585	53476
491	51666	53347
492	51736	53205
493	51804	53063
494	51881	52929
495	51957	52795
496	52033	52662
497	52089	52508
498	52186	52395
499	52270	52270
500	52409	52200
501	52461	52043
502	52522	51896
503	52586	51751
504	52647	51604
505	52707	51457
506	52764	51307
507	52825	51162
508	52887	51017
509	52944	50868
510	53003	50721
511	53059	50572
512	53117	50425
513	53180	50283
514	53235	50134
515	53289	49984
516	53347	49839
517	53395	49684
518	53451	49537
519	53510	49394
520	53572	49254
521	53631	49110
522	53687	48965
523	53743	48820
524	53809	48684
525	53868	48542
526	53924	48399
527	53995	48268
528	54047	48121
529	54104	47979
530	54161	47837
531	54215	47693
532	54278	47557
533	54337	47417
534	54389	47272
535	54444	47131
536	54506	46995
537	54602	46889
538	54678	46766
539	54754	46642
540	54838	46526
541	54912	46402
542	54968	46262
543	55004	46106
544	55077	45982
545	55129	45840
546	55169	45689
547	55214	45541
548	55260	45396
549	55303	45248
550	55353	45106
551	55400	44962
552	55442	44815
553	55485	44668
554	55530	44524
555	55580	44384
556	55619	44235
557	55665	44093
558	55717	43956
559	55758	43810
560	55798	43664
561	55849	43526
562	55897	43387
563	55941	43245
564	55987	43105
565	56034	42966
566	56076	42823
567	56116	42680
568	56157	42537
569	56201	42397
570	56248	42259
571	56290	42119
572	56346	41989
573	56390	41850
574	56438	41715
575	56479	41575
576	56528	41441
577	56573	41304
578	56619	41168
579	56663	41032
580	56706	40895
581	56748	40757
582	56787	40618
583	56839	40488
584	56883	40353
585	56925	40216
586	56969	40082
587	57012	39947
588	57057	39814
589	57105	39683
590	57148	39549
591	57190	39414
592	57235	39283
593	57290	39158
594	57337	39027
595	57383	38897
596	57425	38764
597	57466	38631
598	57511	38500
599	57557	38371
600	57604	38243
601	57643	38109
602	57682	37976
603	57721	37843
604	57763	37713
605	57806	37583
606	57846	37452
607	57889	37323
608	57932	37194
609	57978	37068
610	58017	36937
611	58063	36811
612	58107	36684
613	58148	36555
614	58195	36431
615	58243	36307
616	58282	36178
617	58322	36050
618	58367	35925
619	58401	35794
620	58438	35665
621	58477	35537
622	58515	35409
623	58555	35283
624	58593	35156
625	58633	35030
626	58672	34904
627	58713	34779
628	58748	34651
629	58779	34521
630	58818	34396
631	58857	34271
632	58893	34145
633	58930	34019
634	58967	33894
635	59004	33769
636	59041	33645
637	59075	33519
638	59118	33398
639	59158	33276
640	59198	33154
641	59242	33035
642	59285	32916
643	59324	32794
644	59364	32673
645	59405	32553
646	59441	32431
647	59486	32313
648	59520	32190
649	59559	32070
650	59598	31950
651	59634	31829
652	59671	31708
653	59709	31589
654	59744	31468
655	59787	31352
656	59833	31237
657	59885	31126
658	59940	31016
659	60007	30912
660	60080	30812
661	60146	30709
662	60196	30597
663	60272	30499
664	60341	30397
665	60404	30293
666	60449	30179
667	60492	30065
668	60538	29952
669	60579	29837
670	60628	29726
671	60675	29615
672	60738	29511
673	60790	29403
674	60831	29289
675	60877	29177
676	60940	29075
677	60978	28960
678	61011	28843
679	61045	28727
680	61078	28611
681	61117	28497
682	61152	28382
683	61184	28266
684	61217	28151
685	61255	28038
686	61293	27925
687	61326	27810
688	61368	27700
689	61407	27589
690	61442	27475
691	61478	27363
692	61521	27254
693	61563	27144
694	61601	27033
695	61636	26921
696	61666	26807
697	61700	26695
698	61738	26585
699	61774	26474
700	61805	26362
701	61852	26256
702	61891	26147
703	61929	26038
704	61975	25932
705	62007	25821
706	62039	25710
707	62072	25600
708	62105	25490
709	62132	25378
710	62164	25268
711	62203	25160
712	62242	25054
713	62277	24945
714	62311	24837
715	62347	24729
716	62382	24622
717	62413	24513
718	62446	24405
719	62481	24298
720	62517	24192
721	62551	24084
722	62584	23977
723	62616	23870
724	62652	23764
725	62690	23660
726	62733	23557
727	62775	23454
728	62807	23348
729	62842	23243
730	62881	23139
731	62914	23034
732	62948	22929
733	62992	22828
734	63026	22723
735	63057	22618
736	63092	22514
737	63134	22413
738	63170	22310
739	63208	22208
740	63255	22109
741	63293	22007
742	63336	21907
743	63371	21805
744	63412	21705
745	63455	21605
746	63490	21503
747	63526	21401
748	63563	21301
749	63600	21200
750	63644	21101
751	63680	21000
752	63718	20901
753	63756	20801
754	63793	20701
755	63827	20600
756	63864	20500
757	63903	20401
758	63941	20303
759	63978	20203
760	64009	20102
761	64051	20005
762	64089	19907
763	64123	19807
764	64161	19709
765	64194	19610
766	64231	19512
767	64269	19414
768	64307	19317
769	64345	19220
770	64382	19122
771	64419	19025
772	64455	18928
773	64493	18831
774	64532	18735
775	64575	18640
776	64612	18543
777	64658	18450
778	64699	18354
779	64739	18259
780	64785	18166
781	64823	18071
782	64859	17975
783	64895	17879
784	64931	17783
785	64969	17689
786	65001	17592
787	65040	17498
788	65073	17402
789	65112	17308
790	65147	17213
791	65181	17118
792	65215	17023
793	65252	16929
794	65288	16835
795	65326	16741
796	65364	16648
797	65409	16557
798	65460	16467
799	65508	16377
800	65557	16287
801	65607	16197
802	65656	16107
803	65697	16015
804	65749	15926
805	65807	15839
806	65845	15747
807	65879	15654
808	65916	15562
809	65955	15471
810	65992	15379
811	66025	15286
812	66063	15195
813	66100	15104
814	66140	15013
815	66176	14922
816	66210	14830
817	66247	14739
818	66281	14648
819	66318	14557
820	66352	14466
821	66393	14377
822	66432	14287
823	66461	14195
824	66503	14106
825	66550	14019
826	66584	13928
827	66610	13836
828	66640	13746
829	66669	13655
830	66694	13563
831	66723	13473
832	66752	13382
833	66783	13292
834	66811	13202
835	66849	13113
836	66880	13024
837	66914	12935
838	66946	12846
839	66982	12758
840	67014	12669
841	67046	12581
842	67077	12492
843	67109	12404
844	67137	12315
845	67162	12225
846	67194	12137
847	67221	12049
848	67249	11960
849	67274	11871
850	67305	11784
851	67336	11697
852	67361	11608
853	67388	11520
854	67417	11433
855	67445	11346
856	67477	11259
857	67504	11172
858	67533	11085
859	67566	10999
860	67594	10912
861	67622	10825
862	67655	10740
863	67680	10653
864	67709	10567
865	67736	10481
866	67759	10394
867	67788	10308
868	67819	10223
869	67850	10138
870	67880	10053
871	67907	9968
872	67942	9883
873	67974	9799
874	68000	9714
875	68028	9629
876	68056	9544
877	68084	9460
878	68113	9376
879	68142	9292
880	68170	9208
881	68198	9124
882	68227	9040
883	68252	8956
884	68279	8872
885	68306	8788
886	68336	8705
887	68364	8622
888	68391	8539
889	68422	8456
890	68452	8374
891	68480	8291
892	68504	8208
893	68537	8126
894	68566	8044
895	68595	7961
896	68625	7880
897	68655	7798
898	68683	7716
899	68711	7634
900	68742	7553
901	68771	7471
902	68802	7390
903	68833	7309
904	68860	7228
905	68886	7147
906	68912	7065
907	68943	6985
908	68971	6904
909	68998	6824
910	69027	6743
911	69055	6663
912	69083	6582
913	69111	6502
914	69143	6423
915	69168	6342
916	69190	6262
917	69214	6182
918	69238	6102
919	69296	6025
920	69324	5946
921	69348	5866
922	69370	5787
923	69392	5707
924	69416	5628
925	69436	5548
926	69458	5469
927	69479	5390
928	69500	5311
929	69520	5232
930	69543	5154
931	69563	5075
932	69585	4996
933	69608	4918
934	69628	4840
935	69652	4762
936	69674	4684
937	69694	4606
938	69717	4529
939	69741	4451
940	69762	4374
941	69783	4296
942	69806	4219
943	69824	4142
944	69844	4065
945	69865	3988
946	69884	3911
947	69906	3834
948	69926	3757
949	69948	3681
950	69967	3605
951	69987	3528
952	70008	3452
953	70030	3376
954	70051	3300
955	70074	3225
956	70097	3149
957	70120	3074
958	70143	2998
959	70161	2923
960	70181	2848
961	70204	2773
962	70229	2698
963	70253	2623
964	70276	2548
965	70299	2474
966	70316	2399
967	70332	2325
968	70352	2250
969	70380	2176
970	70407	2102
971	70426	2028
972	70444	1954
973	70460	1880
974	70475	1807
975	70491	1733
976	70505	1659
977	70521	1586
978	70535	1513
979	70550	1439
980	70565	1366
981	70582	1293
982	70596	1220
983	70610	1148
984	70623	1075
985	70637	1002
986	70652	930
987	70667	858
988	70683	786
989	70698	714
990	70714	642
991	70729	570
992	70743	498
993	70759	427
994	70776	355
995	70793	284
996	70810	213
997	70827	141
998	70846	70
999	70863	0
195	496
994	82222	413
995	82248	330
996	82274	247
997	82299	164
998	82330	82
999	82358	0
09
971	127597	3675
972	127637	3541
973	127678	3408
974	127722	3274
975	127767	3141
976	127805	3008
977	127852	2876
978	127891	2743
979	127936	2610
980	127973	2478
981	128010	2346
982	128052	2214
983	128096	2082
984	128142	1951
985	128180	1820
986	128223	1688
987	128264	1557
988	128298	1426
989	128341	1296
990	128373	1165
991	128408	1035
992	128447	905
993	128492	775
994	128526	645
995	128563	516
996	128601	386
997	128642	257
998	128689	128
999	128754	0
59323	800
995	159481	640
996	159633	480
997	159781	320
998	159954	160
999	160143	0
