iter	RMSE
696	36309.38648
697	36307.88357
698	36306.61919
699	36306.31011
700	36305.53492
701	36304.52844
702	36303.79977
703	36301.97767
704	36301.48292
705	36300.57199
706	36298.61122
707	36297.03954
708	36296.13737
709	36295.60999
710	36294.33879
711	36293.23988
712	36292.37144
713	36292.1029
714	36291.48472
715	36290.5961
716	36289.0516
717	36288.79687
718	36288.45946
719	36288.33648
720	36287.9775
721	36285.88427
722	36284.76235
723	36283.19394
724	36282.50338
725	36281.62454
726	36281.31299
727	36280.53907
728	36280.1734
729	36279.87202
730	36278.38494
731	36277.29274
732	36274.73611
733	36274.33547
734	36272.37316
735	36271.02862
736	36270.41803
737	36270.08956
738	36268.53497
739	36266.65051
740	36266.28965
741	36265.60596
742	36265.27632
743	36264.96201
744	36264.43382
745	36263.75729
746	36263.39375
747	36262.23568
748	36261.26668
749	36260.94091
750	36259.54445
751	36258.3219
752	36257.30292
753	36255.9567
754	36254.83106
755	36254.02671
756	36253.33883
757	36253.11594
758	36252.55244
759	36250.87432
760	36249.69889
761	36249.1847
762	36247.94336
763	36247.26117
764	36245.20918
765	36244.74718
766	36243.92764
767	36243.68057
768	36242.16703
769	36241.5332
770	36239.1887
771	36238.02238
772	36237.30956
773	36236.84876
774	36235.90976
775	36235.0372
776	36234.71252
777	36233.9176
778	36232.69607
779	36231.52823
780	36230.75051
781	36230.08908
782	36228.85215
783	36228.57297
784	36228.10241
785	36227.47693
786	36226.94313
787	36225.90435
788	36225.11429
789	36224.33637
790	36223.86265
791	36223.54325
792	36223.24347
793	36222.41912
794	36221.93057
795	36220.04221
796	36219.42106
797	36219.16353
798	36218.82438
799	36216.50759
800	36215.31386
801	36214.75165
802	36213.06678
803	36212.40532
804	36211.77786
805	36210.82437
806	36209.75656
807	36209.32095
808	36209.09234
809	36208.07012
810	36205.2573
811	36203.07312
812	36202.56811
813	36202.26719
814	36201.77883
815	36199.84098
816	36199.24883
817	36198.40947
818	36198.07554
819	36197.7442
820	36196.24768
821	36195.76339
822	36193.2259
823	36191.76582
824	36190.89211
825	36190.27483
826	36189.64999
827	36189.1938
828	36188.91125
829	36188.30047
830	36188.04819
831	36186.3948
832	36186.14411
833	36184.90519
834	36184.21817
835	36183.4309
836	36181.90092
837	36181.51176
838	36180.71998
839	36179.93822
840	36179.14773
841	36178.75961
842	36177.41733
843	36176.6892
844	36175.78246
845	36175.28813
846	36174.79371
847	36174.58047
848	36173.15585
849	36172.65506
850	36172.10331
851	36171.17059
852	36169.73983
853	36168.2472
854	36167.24254
855	36166.47938
856	36165.20344
857	36164.50398
858	36164.29114
859	36162.15039
860	36161.90329
861	36161.09036
862	36160.72797
863	36160.49612
864	36159.40977
865	36158.30907
866	36157.65663
867	36157.17974
868	36156.50151
869	36155.42117
870	36155.02349
871	36154.09874
872	36152.67141
873	36152.17424
874	36151.28779
875	36150.52037
876	36150.19543
877	36149.55634
878	36149.40653
879	36148.68467
880	36148.24196
881	36147.57295
882	36147.19139
883	36145.65017
884	36145.19181
885	36143.40498
886	36142.48396
887	36141.57085
888	36140.69246
889	36140.34561
890	36139.88124
891	36139.08552
892	36138.87597
893	36138.15529
894	36137.47538
895	36136.39364
896	36135.25287
897	36134.56672
898	36132.93071
899	36131.33147
900	36130.53075
901	36130.22603
902	36129.58374
903	36128.69851
904	36128.04995
905	36127.81817
906	36127.38162
907	36127.05788
908	36126.1902
909	36125.63904
910	36125.10213
911	36124.2963
912	36123.41256
913	36122.9844
914	36122.27181
915	36121.12797
916	36119.49246
917	36119.09127
918	36117.73311
919	36116.70191
920	36115.84688
921	36115.24076
922	36114.50908
923	36112.6767
924	36112.19785
925	36111.81039
926	36110.92439
927	36110.35223
928	36109.51232
929	36108.09002
930	36107.03588
931	36106.02096
932	36105.37508
933	36104.79573
934	36102.83193
935	36102.29276
936	36101.52874
937	36100.87967
938	36100.18784
939	36099.26123
940	36098.35952
941	36098.13967
942	36097.41021
943	36096.65729
944	36096.12245
945	36095.61224
946	36095.34415
947	36094.76075
948	36093.32469
949	36092.65856
950	36090.62709
951	36089.52577
952	36089.10959
953	36088.5773
954	36088.3104
955	36087.72494
956	36087.29399
957	36086.98157
958	36086.42241
959	36086.23464
960	36085.73639
961	36085.52028
962	36084.33347
963	36083.49966
964	36082.97981
965	36082.09151
966	36081.68432
967	36080.98945
968	36080.73031
969	36080.16821
970	36079.18008
971	36078.67351
972	36078.48655
973	36078.18268
974	36077.45932
975	36077.13841
976	36076.41572
977	36075.96466
978	36075.56033
979	36075.16568
980	36074.62393
981	36073.98046
982	36072.81426
983	36072.65879
984	36071.96671
985	36071.67554
986	36071.06749
987	36070.65469
988	36070.00869
989	36069.09658
990	36068.5729
991	36067.40792
992	36067.04721
993	36066.69544
994	36066.17817
995	36065.47077
996	36064.75462
997	36063.79153
998	36062.79014
999	36062.08818
965
